src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-het-gemeentefonds,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-wonen-en-rijksdienst,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-de-staat-van-de-rijksverantwoording,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2018:06:13:beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2018,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2018:06:14:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-jaarverslag-van-het-ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2018:06:19:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2019:01:23:beantwoording-vragen-tweede-kamer-over-het-rapport-brexit,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vraag-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-koninkrijksrelaties,BZK,Vaste commissie voor Koninkrijksrelaties,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-bzk,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-economische-zaken-en-klimaat-xiii-ministerie-van-landbouw-natuur-en-voedselkwaliteit-en-diergezondheidsfonds,EZK,Vaste commissie voor Economische Zaken en Klimaat,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-infrastructuur-en-waterstaat,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-jenv,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-szw,SZW,,
rekenkamer__kamerstuk:2019:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2019:06:11:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-bij-het-ministerie-van-ocw,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2019:06:11:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-de-staat-van-de-rijksverantwoording-2018,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2019:06:12:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2018-lnv,EZK,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2019:10:21:beantwoording-vragen-tweede-kamer-over-het-rapport-mestvervuiling-veehouderij-vervolgonderzoek-duurzaamheid-veehouderij-2019,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2020:01:21:beantwoording-vragen-over-het-rapport-ouderdomsregelingen-ontleed,SZW,,
rekenkamer__kamerstuk:2020:02:06:beantwoording-vragen-tweede-kamer-over-het-rapport-autobelastingen-als-beleidsinstrument,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2020:02:13:beantwoording-vragen-tweede-kamer-over-het-rapport-hilversum-in-beeld,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-de-koning,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-bzk,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-economische-zaken-en-klimaat,EZK,,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
